city,year,grid_x,grid_y,grid_id,business_count,occupied_count,vacant_count,known_occupation_count,unknown_occupation_count,vacancy_rate,business_diversity,rateable_value_total,rateable_value_median,floor_area_total
Birmingham,2016,402000,278250,Birmingham_402000_278250,5,4,1,5,0,0.2,0.5004024235381879,51400.0,5800.0,984.15
Birmingham,2016,402000,279250,Birmingham_402000_279250,2,2,0,2,0,0.0,0.6931471805599453,17475.0,8737.5,306.72
Birmingham,2016,402000,279500,Birmingham_402000_279500,53,28,2,30,23,0.06666666666666667,0.6194485403188649,1576750.0,19500.0,16524.46
Birmingham,2016,402000,279750,Birmingham_402000_279750,187,69,8,77,110,0.1038961038961039,0.26368710105318294,3027395.0,14500.0,41270.59
Birmingham,2016,402000,281250,Birmingham_402000_281250,1,1,0,1,0,0.0,-0.0,9600.0,9600.0,145.1
Birmingham,2016,402000,282000,Birmingham_402000_282000,51,34,1,35,16,0.02857142857142857,0.19262573846117467,452450.0,8000.0,7007.549999999999
Birmingham,2016,402000,282250,Birmingham_402000_282250,6,5,0,5,1,0.0,-0.0,48050.0,7250.0,516.6999999999999
Birmingham,2016,402000,282500,Birmingham_402000_282500,1,0,1,1,0,1.0,-0.0,32250.0,32250.0,1351.89
Birmingham,2016,402000,284500,Birmingham_402000_284500,4,2,0,2,2,0.0,-0.0,11400.0,5700.0,382.3
Birmingham,2016,402000,284750,Birmingham_402000_284750,7,6,0,6,1,0.0,-0.0,28150.0,4300.0,468.4
Birmingham,2016,402000,285250,Birmingham_402000_285250,1,1,0,1,0,0.0,-0.0,810.0,810.0,13.4
Birmingham,2016,402250,277000,Birmingham_402250_277000,4,3,0,3,1,0.0,-0.0,10275.0,2400.0,245.60000000000002
Birmingham,2016,402250,277500,Birmingham_402250_277500,20,5,3,8,12,0.375,-0.0,62600.0,2500.0,2245.7200000000003
Birmingham,2016,402250,277750,Birmingham_402250_277750,2,0,2,2,0,1.0,-0.0,5250.0,2625.0,122.4
Birmingham,2016,402250,278250,Birmingham_402250_278250,4,3,0,3,1,0.0,-0.0,17400.0,4500.0,215.60000000000002
Birmingham,2016,402250,278750,Birmingham_402250_278750,5,5,0,5,0,0.0,0.5004024235381879,15300.0,2600.0,421.72
Birmingham,2016,402250,279250,Birmingham_402250_279250,1,0,0,0,1,,-0.0,65000.0,65000.0,
Birmingham,2016,402250,279500,Birmingham_402250_279500,1,0,0,0,1,,-0.0,2600.0,2600.0,82.38
Birmingham,2016,402250,280000,Birmingham_402250_280000,9,6,0,6,3,0.0,0.34883209584303193,34750.0,4200.0,427.02
Birmingham,2016,402250,282000,Birmingham_402250_282000,9,6,0,6,3,0.0,0.5297061990576545,91775.0,8000.0,1223.57
Birmingham,2016,402250,282750,Birmingham_402250_282750,3,1,0,1,2,0.0,-0.0,4525.0,2262.5,124.70000000000002
Birmingham,2016,402250,283250,Birmingham_402250_283250,6,6,0,6,0,0.0,-0.0,57150.0,6850.0,1008.8199999999999
Birmingham,2016,402250,283500,Birmingham_402250_283500,1,1,0,1,0,0.0,-0.0,20000.0,20000.0,453.2
Birmingham,2016,402250,284000,Birmingham_402250_284000,14,8,0,8,6,0.0,0.25731864054383163,41325.0,3800.0,1382.8400000000001
Birmingham,2016,402250,285250,Birmingham_402250_285250,1,1,0,1,0,0.0,-0.0,150000.0,150000.0,
Birmingham,2016,402250,286000,Birmingham_402250_286000,1,1,0,1,0,0.0,-0.0,135000.0,135000.0,
Birmingham,2016,402250,286250,Birmingham_402250_286250,2,2,0,2,0,0.0,0.6931471805599453,23350.0,11675.0,322.03
Birmingham,2016,402500,277750,Birmingham_402500_277750,2,1,0,1,1,0.0,0.6931471805599453,18200.0,9100.0,41.8
Birmingham,2016,402500,278750,Birmingham_402500_278750,21,9,1,10,11,0.1,0.7801307795266322,156585.0,2362.5,3444.3999999999996
Birmingham,2016,402500,279000,Birmingham_402500_279000,1,1,0,1,0,0.0,-0.0,1875.0,1875.0,58.7
Birmingham,2016,402500,280000,Birmingham_402500_280000,1,1,0,1,0,0.0,-0.0,8400.0,8400.0,130.78
Birmingham,2016,402500,283000,Birmingham_402500_283000,2,2,0,2,0,0.0,-0.0,5375.0,2687.5,105.7
Birmingham,2016,402500,284000,Birmingham_402500_284000,4,2,1,3,1,0.3333333333333333,-0.0,12625.0,5000.0,230.9
Birmingham,2016,402500,284250,Birmingham_402500_284250,1,1,0,1,0,0.0,-0.0,7000.0,7000.0,73.0
Birmingham,2016,402500,284500,Birmingham_402500_284500,1,0,0,0,1,,-0.0,21500.0,21500.0,66.6
Birmingham,2016,402500,286000,Birmingham_402500_286000,1,1,0,1,0,0.0,-0.0,1350.0,1350.0,19.35
Birmingham,2016,402500,287000,Birmingham_402500_287000,1,1,0,1,0,0.0,-0.0,6200.0,6200.0,57.7
Birmingham,2016,402500,289750,Birmingham_402500_289750,4,3,0,3,1,0.0,-0.0,32650.0,6700.0,3384.4
Birmingham,2016,402750,276750,Birmingham_402750_276750,1,1,0,1,0,0.0,-0.0,7900.0,7900.0,159.0
Birmingham,2016,402750,277250,Birmingham_402750_277250,1,1,0,1,0,0.0,-0.0,2450.0,2450.0,121.0
Birmingham,2016,402750,277500,Birmingham_402750_277500,1,1,0,1,0,0.0,-0.0,3050.0,3050.0,64.8
Birmingham,2016,402750,277750,Birmingham_402750_277750,33,17,2,19,14,0.10526315789473684,0.5898691618387124,264025.0,8000.0,3986.2
Birmingham,2016,402750,278000,Birmingham_402750_278000,9,2,5,7,2,0.7142857142857143,0.34883209584303193,22990.0,2425.0,597.5
Birmingham,2016,402750,278750,Birmingham_402750_278750,3,1,0,1,2,0.0,-0.0,4450.0,4450.0,217.60000000000002
Birmingham,2016,402750,281250,Birmingham_402750_281250,3,1,0,1,2,0.0,-0.0,12150.0,4000.0,203.3
Birmingham,2016,402750,281750,Birmingham_402750_281750,6,3,0,3,3,0.0,-0.0,14125.0,4950.0,576.91
Birmingham,2016,402750,283250,Birmingham_402750_283250,1,0,0,0,1,,-0.0,38000.0,38000.0,
Birmingham,2016,402750,283750,Birmingham_402750_283750,1,0,0,0,1,,-0.0,57500.0,57500.0,
Birmingham,2016,402750,284250,Birmingham_402750_284250,8,3,0,3,5,0.0,0.37677016125643675,55700.0,8750.0,668.81
Birmingham,2016,402750,284500,Birmingham_402750_284500,13,8,0,8,5,0.0,-0.0,115750.0,7600.0,980.04
Birmingham,2016,402750,286000,Birmingham_402750_286000,3,2,0,2,1,0.0,-0.0,144500.0,61500.0,787.5
Birmingham,2016,402750,286750,Birmingham_402750_286750,4,2,0,2,2,0.0,-0.0,15200.0,7600.0,272.4
Birmingham,2016,402750,287000,Birmingham_402750_287000,2,2,0,2,0,0.0,-0.0,11500.0,5750.0,174.60000000000002
Birmingham,2016,402750,289500,Birmingham_402750_289500,2,2,0,2,0,0.0,-0.0,6750.0,3375.0,86.07000000000001
Birmingham,2016,402750,290000,Birmingham_402750_290000,3,3,0,3,0,0.0,0.6365141682948128,458000.0,127000.0,5554.83
Birmingham,2016,403000,277250,Birmingham_403000_277250,1,1,0,1,0,0.0,-0.0,79000.0,79000.0,
Birmingham,2016,403000,280750,Birmingham_403000_280750,2,1,0,1,1,0.0,-0.0,94250.0,47125.0,1117.7
Birmingham,2016,403000,281000,Birmingham_403000_281000,6,3,0,3,3,0.0,-0.0,15200.0,3375.0,570.2
Birmingham,2016,403000,282500,Birmingham_403000_282500,6,3,1,4,2,0.25,0.45056120886630463,51900.0,4125.0,594.5
Birmingham,2016,403000,282750,Birmingham_403000_282750,1,1,0,1,0,0.0,-0.0,6600.0,6600.0,167.3
Birmingham,2016,403000,283500,Birmingham_403000_283500,9,7,0,7,2,0.0,-0.0,34075.0,3200.0,565.5
Birmingham,2016,403000,284250,Birmingham_403000_284250,41,13,1,14,27,0.07142857142857142,0.5270643922575318,387050.0,7250.0,3407.7200000000003
Birmingham,2016,403000,284750,Birmingham_403000_284750,5,1,0,1,4,0.0,-0.0,10100.0,5050.0,528.2
Birmingham,2016,403000,285500,Birmingham_403000_285500,9,6,0,6,3,0.0,-0.0,47750.0,7100.0,624.83
Birmingham,2016,403000,286000,Birmingham_403000_286000,11,7,1,8,3,0.125,0.30463609734923813,82250.0,6900.0,2045.8500000000001
Birmingham,2016,403000,286750,Birmingham_403000_286750,1,1,0,1,0,0.0,-0.0,790.0,790.0,7.4
Birmingham,2016,403000,289500,Birmingham_403000_289500,4,1,0,1,3,0.0,0.5623351446188083,7975.0,2050.0,221.8
Birmingham,2016,403000,289750,Birmingham_403000_289750,2,1,0,1,1,0.0,-0.0,4050.0,4050.0,99.7
Birmingham,2016,403000,290000,Birmingham_403000_290000,11,6,1,7,4,0.14285714285714285,0.7595473914748635,897200.0,3200.0,9635.800000000001
Birmingham,2016,403250,279250,Birmingham_403250_279250,1,1,0,1,0,0.0,-0.0,7100.0,7100.0,157.7
Birmingham,2016,403250,280000,Birmingham_403250_280000,3,2,0,2,1,0.0,-0.0,8950.0,4475.0,196.89999999999998
Birmingham,2016,403250,281000,Birmingham_403250_281000,3,3,0,3,0,0.0,-0.0,11700.0,4350.0,121.18
Birmingham,2016,403250,282000,Birmingham_403250_282000,1,1,0,1,0,0.0,-0.0,2800.0,2800.0,83.24
Birmingham,2016,403250,282250,Birmingham_403250_282250,9,4,0,4,5,0.0,-0.0,22350.0,3250.0,591.6999999999999
Birmingham,2016,403250,284250,Birmingham_403250_284250,20,10,1,11,9,0.09090909090909091,0.42270908780599087,229200.0,8875.0,1935.2800000000002
Birmingham,2016,403250,284500,Birmingham_403250_284500,2,1,0,1,1,0.0,0.6931471805599453,22650.0,11325.0,204.2
Birmingham,2016,403250,289250,Birmingham_403250_289250,1,1,0,1,0,0.0,-0.0,2550.0,2550.0,112.2
Birmingham,2016,403250,289500,Birmingham_403250_289500,1,1,0,1,0,0.0,-0.0,1500.0,1500.0,22.5
Birmingham,2016,403250,289750,Birmingham_403250_289750,43,27,2,29,14,0.06896551724137931,0.5452444413921549,168450.0,4200.0,3885.1899999999996
Birmingham,2016,403500,277500,Birmingham_403500_277500,10,6,0,6,4,0.0,0.5004024235381879,82950.0,5300.0,1313.8600000000001
Birmingham,2016,403500,277750,Birmingham_403500_277750,1,1,0,1,0,0.0,-0.0,4400.0,4400.0,78.2
Birmingham,2016,403500,278000,Birmingham_403500_278000,1,0,0,0,1,,-0.0,4050.0,4050.0,82.2
Birmingham,2016,403500,279000,Birmingham_403500_279000,15,12,1,13,2,0.07692307692307693,0.24493002679463532,59700.0,3200.0,1109.95
Birmingham,2016,403500,280000,Birmingham_403500_280000,2,1,1,2,0,0.5,-0.0,13700.0,6850.0,187.9
Birmingham,2016,403500,280750,Birmingham_403500_280750,2,0,1,1,1,1.0,0.6931471805599453,5400.0,5400.0,71.9
Birmingham,2016,403500,283000,Birmingham_403500_283000,8,0,0,0,8,,-0.0,207000.0,207000.0,7881.509999999999
Birmingham,2016,403500,283250,Birmingham_403500_283250,13,11,1,12,1,0.08333333333333333,0.4293230219306162,43965.0,2650.0,4622.04
Birmingham,2016,403500,283750,Birmingham_403500_283750,1,0,0,0,1,,-0.0,,,38.6
Birmingham,2016,403500,284000,Birmingham_403500_284000,1,1,0,1,0,0.0,-0.0,2950.0,2950.0,56.0
Birmingham,2016,403500,284250,Birmingham_403500_284250,3,2,0,2,1,0.0,0.6365141682948128,19000.0,9500.0,279.5
Birmingham,2016,403500,284500,Birmingham_403500_284500,84,48,1,49,35,0.02040816326530612,0.6560731947822387,2798650.0,27500.0,14866.939999999999
Birmingham,2016,403500,284750,Birmingham_403500_284750,6,2,1,3,3,0.3333333333333333,-0.0,12700.0,3275.0,372.73999999999995
Birmingham,2016,403500,285000,Birmingham_403500_285000,4,3,0,3,1,0.0,-0.0,14075.0,3775.0,444.8
Birmingham,2016,403500,287250,Birmingham_403500_287250,2,0,0,0,2,,-0.0,6450.0,3225.0,236.79999999999998
Birmingham,2016,403500,287500,Birmingham_403500_287500,17,7,0,7,10,0.0,-0.0,54320.0,4325.0,2386.08
Birmingham,2016,403500,289250,Birmingham_403500_289250,2,1,1,2,0,0.5,0.6931471805599453,37575.0,18787.5,1003.0300000000001
Birmingham,2016,403500,289500,Birmingham_403500_289500,1,0,0,0,1,,-0.0,4050.0,4050.0,63.5
Birmingham,2016,403500,289750,Birmingham_403500_289750,3,2,0,2,1,0.0,0.6365141682948128,5875.0,1950.0,180.49
Birmingham,2016,403500,290500,Birmingham_403500_290500,6,5,0,5,1,0.0,-0.0,17350.0,2800.0,374.5
Birmingham,2016,403750,277000,Birmingham_403750_277000,1,0,0,0,1,,-0.0,23000.0,23000.0,362.7
Birmingham,2016,403750,277250,Birmingham_403750_277250,1,1,0,1,0,0.0,-0.0,4950.0,4950.0,77.7
Birmingham,2016,403750,277750,Birmingham_403750_277750,2,1,0,1,1,0.0,0.6931471805599453,9800.0,4900.0,126.78999999999999
Birmingham,2016,403750,278500,Birmingham_403750_278500,4,3,0,3,1,0.0,0.5623351446188083,36400.0,7600.0,384.6
Birmingham,2016,403750,281750,Birmingham_403750_281750,1,0,0,0,1,,-0.0,,,905.5
Birmingham,2016,403750,282000,Birmingham_403750_282000,1,1,0,1,0,0.0,-0.0,40000.0,40000.0,
Birmingham,2016,403750,283250,Birmingham_403750_283250,1,1,0,1,0,0.0,-0.0,4250.0,4250.0,59.8
