city,grid_id,grid_x,grid_y,business_count_2016,vacancy_rate_2016,business_diversity_2016,rateable_value_total_2016,rateable_value_median_2016,known_occupation_count_2016,business_count_2025,vacancy_rate_2025,business_diversity_2025,rateable_value_total_2025,rateable_value_median_2025,known_occupation_count_2025,business_count_change,business_count_pct_change,vacancy_rate_pp_change,business_diversity_change,rateable_value_total_change,rateable_value_total_pct_change,cell_status
Birmingham,Birmingham_401000_279750,401000,279750,11.0,0.14285714285714285,-0.0,32725.0,2700.0,7.0,9.0,0.0,-0.0,48800.0,4050.0,5.0,-2.0,-18.181818181818183,-14.285714285714285,0.0,16075.0,49.12146676852559,declined
Birmingham,Birmingham_401000_280500,401000,280500,4.0,0.0,0.5623351446188083,10675.0,5337.5,2.0,2.0,0.0,-0.0,19050.0,9525.0,2.0,-2.0,-50.0,0.0,-0.5623351446188083,8375.0,78.4543325526932,declined
Birmingham,Birmingham_401000_281250,401000,281250,9.0,0.0,0.34883209584303193,29700.0,2850.0,5.0,8.0,0.0,-0.0,42800.0,4125.0,5.0,-1.0,-11.11111111111111,0.0,-0.34883209584303193,13100.0,44.107744107744104,declined
Birmingham,Birmingham_401000_284750,401000,284750,2.0,,0.6931471805599453,,,0.0,0.0,,,,,,-2.0,-100.0,,,,,disappeared
Birmingham,Birmingham_401000_285250,401000,285250,1.0,1.0,-0.0,38000.0,38000.0,1.0,2.0,0.0,0.6931471805599453,65000.0,32500.0,2.0,1.0,100.0,-100.0,0.6931471805599453,27000.0,71.05263157894737,intensified
Birmingham,Birmingham_401250_277250,401250,277250,11.0,0.0,0.30463609734923813,63750.0,5100.0,6.0,10.0,0.0,0.639031859650177,128700.0,7650.0,7.0,-1.0,-9.090909090909092,0.0,0.3343957623009388,64950.0,101.88235294117646,declined
Birmingham,Birmingham_401250_277500,401250,277500,8.0,0.0,0.5623351446188083,54000.0,9300.0,1.0,5.0,,-0.0,54000.0,9300.0,0.0,-3.0,-37.5,,-0.5623351446188083,0.0,0.0,declined
Birmingham,Birmingham_401250_277750,401250,277750,1.0,0.0,-0.0,7300.0,7300.0,1.0,1.0,0.0,-0.0,12000.0,12000.0,1.0,0.0,0.0,0.0,0.0,4700.0,64.38356164383562,persistent
Birmingham,Birmingham_401250_278250,401250,278250,18.0,0.0,0.5908422462755826,156000.0,8000.0,10.0,16.0,0.0,0.7774621319109288,165200.0,8350.0,9.0,-2.0,-11.11111111111111,0.0,0.18661988563534626,9200.0,5.897435897435897,declined
Birmingham,Birmingham_401250_279500,401250,279500,1.0,,-0.0,2550.0,2550.0,0.0,1.0,0.0,-0.0,3850.0,3850.0,1.0,0.0,0.0,,0.0,1300.0,50.98039215686274,persistent
Birmingham,Birmingham_401250_280750,401250,280750,1.0,,-0.0,32000.0,32000.0,0.0,1.0,0.0,-0.0,4200.0,4200.0,1.0,0.0,0.0,,0.0,-27800.0,-86.875,persistent
Birmingham,Birmingham_401250_282500,401250,282500,10.0,0.0,0.5004024235381879,35900.0,3850.0,9.0,9.0,0.0,-0.0,65500.0,6800.0,5.0,-1.0,-10.0,0.0,-0.5004024235381879,29600.0,82.45125348189416,declined
Birmingham,Birmingham_401250_283750,401250,283750,7.0,0.2,0.410116318288409,30800.0,3900.0,5.0,9.0,0.0,0.5297061990576545,93800.0,6000.0,4.0,2.0,28.57142857142857,-20.0,0.11958988076924548,63000.0,204.54545454545453,intensified
Birmingham,Birmingham_401250_284500,401250,284500,7.0,0.0,0.410116318288409,61700.0,4700.0,6.0,6.0,0.0,0.45056120886630463,76500.0,7150.0,5.0,-1.0,-14.285714285714285,0.0,0.04044489057789563,14800.0,23.9870340356564,declined
Birmingham,Birmingham_401250_284750,401250,284750,4.0,0.0,-0.0,36800.0,5500.0,3.0,3.0,0.0,-0.0,45650.0,6900.0,2.0,-1.0,-25.0,0.0,0.0,8850.0,24.04891304347826,declined
Birmingham,Birmingham_401500_276750,401500,276750,5.0,0.0,-0.0,8375.0,2600.0,3.0,5.0,0.0,-0.0,13950.0,3700.0,1.0,0.0,0.0,0.0,0.0,5575.0,66.56716417910448,persistent
Birmingham,Birmingham_401500_277000,401500,277000,3.0,0.0,0.6365141682948128,24775.0,4650.0,1.0,2.0,0.0,0.6931471805599453,12600.0,6300.0,1.0,-1.0,-33.33333333333333,0.0,0.05663301226513251,-12175.0,-49.1422805247225,declined
Birmingham,Birmingham_401500_277250,401500,277250,4.0,0.0,-0.0,14250.0,5400.0,2.0,3.0,0.0,-0.0,19450.0,7400.0,1.0,-1.0,-25.0,0.0,0.0,5200.0,36.49122807017544,declined
Birmingham,Birmingham_401500_277750,401500,277750,1.0,,-0.0,,,0.0,0.0,,,,,,-1.0,-100.0,,,,,disappeared
Birmingham,Birmingham_401500_278500,401500,278500,35.0,0.08,0.3470668257548097,168125.0,5000.0,25.0,31.0,0.0,0.3795349255810947,217700.0,6800.0,13.0,-4.0,-11.428571428571429,-8.0,0.03246809982628501,49575.0,29.486988847583646,declined
Birmingham,Birmingham_401500_278750,401500,278750,3.0,0.0,-0.0,15600.0,4450.0,1.0,3.0,,-0.0,22400.0,6500.0,0.0,0.0,0.0,,0.0,6800.0,43.58974358974359,persistent
Birmingham,Birmingham_401500_280000,401500,280000,1.0,0.0,-0.0,2750.0,2750.0,1.0,2.0,,-0.0,10000.0,5000.0,0.0,1.0,100.0,,0.0,7250.0,263.6363636363636,intensified
Birmingham,Birmingham_401500_282250,401500,282250,1.0,,-0.0,,,0.0,0.0,,,,,,-1.0,-100.0,,,,,disappeared
Birmingham,Birmingham_401500_282500,401500,282500,4.0,0.0,0.5623351446188083,75620.0,2175.0,3.0,4.0,0.0,0.5623351446188083,96500.0,3825.0,3.0,0.0,0.0,0.0,0.0,20880.0,27.61174292515208,persistent
Birmingham,Birmingham_401500_282750,401500,282750,2.0,,0.6931471805599453,1650000.0,1650000.0,0.0,1.0,0.0,-0.0,1430000.0,1430000.0,1.0,-1.0,-50.0,,-0.6931471805599453,-220000.0,-13.333333333333334,declined
Birmingham,Birmingham_401500_284000,401500,284000,1.0,0.0,-0.0,7700.0,7700.0,1.0,1.0,,-0.0,10750.0,10750.0,0.0,0.0,0.0,,0.0,3050.0,39.61038961038961,persistent
Birmingham,Birmingham_401500_284750,401500,284750,1.0,0.0,-0.0,83500.0,83500.0,1.0,1.0,0.0,-0.0,44500.0,44500.0,1.0,0.0,0.0,0.0,0.0,-39000.0,-46.706586826347305,persistent
Birmingham,Birmingham_401750_277250,401750,277250,1.0,,-0.0,4400.0,4400.0,0.0,1.0,0.0,-0.0,5900.0,5900.0,1.0,0.0,0.0,,0.0,1500.0,34.090909090909086,persistent
Birmingham,Birmingham_401750_278250,401750,278250,1.0,,-0.0,11500.0,11500.0,0.0,1.0,,-0.0,,,0.0,0.0,0.0,,0.0,,,persistent
Birmingham,Birmingham_401750_279000,401750,279000,12.0,0.0,0.45056120886630463,163700.0,6950.0,8.0,12.0,0.0,0.45056120886630463,207150.0,7900.0,6.0,0.0,0.0,0.0,0.0,43450.0,26.542455711667685,persistent
Birmingham,Birmingham_401750_279250,401750,279250,50.0,0.0,0.4882935030375918,1628510.0,3500.0,37.0,71.0,0.0,0.37511221830412345,1514375.0,8200.0,18.0,21.0,42.0,0.0,-0.11318128473346833,-114135.0,-7.008553831416448,intensified
Birmingham,Birmingham_401750_279500,401750,279500,16.0,0.0,0.6885673693022827,240750.0,11875.0,6.0,15.0,0.0,0.7201248812718097,248350.0,11750.0,7.0,-1.0,-6.25,0.0,0.03155751196952705,7600.0,3.1568016614745584,declined
Birmingham,Birmingham_401750_279750,401750,279750,1.0,,-0.0,50500.0,50500.0,0.0,1.0,0.0,-0.0,55000.0,55000.0,1.0,0.0,0.0,,0.0,4500.0,8.91089108910891,persistent
Birmingham,Birmingham_401750_280750,401750,280750,8.0,0.125,-0.0,44400.0,4525.0,8.0,8.0,0.0,-0.0,71300.0,7200.0,3.0,0.0,0.0,-12.5,0.0,26900.0,60.58558558558559,persistent
Birmingham,Birmingham_401750_281000,401750,281000,1.0,0.0,-0.0,1025.0,1025.0,1.0,1.0,,-0.0,1475.0,1475.0,0.0,0.0,0.0,,0.0,450.0,43.90243902439025,persistent
Birmingham,Birmingham_401750_281500,401750,281500,1.0,0.0,-0.0,36250.0,36250.0,1.0,1.0,,-0.0,10800.0,10800.0,0.0,0.0,0.0,,0.0,-25450.0,-70.20689655172414,persistent
Birmingham,Birmingham_401750_283750,401750,283750,5.0,0.0,-0.0,19150.0,5000.0,1.0,3.0,0.0,0.6365141682948128,32750.0,8400.0,1.0,-2.0,-40.0,0.0,0.6365141682948128,13600.0,71.01827676240208,declined
Birmingham,Birmingham_401750_284000,401750,284000,1.0,,-0.0,4050.0,4050.0,0.0,1.0,0.0,-0.0,8700.0,8700.0,1.0,0.0,0.0,,0.0,4650.0,114.81481481481481,persistent
Birmingham,Birmingham_401750_284500,401750,284500,11.0,0.0,-0.0,69150.0,5400.0,6.0,10.0,0.0,-0.0,86050.0,6750.0,8.0,-1.0,-9.090909090909092,0.0,0.0,16900.0,24.439624005784527,declined
Birmingham,Birmingham_401750_284750,401750,284750,1.0,0.0,-0.0,3150.0,3150.0,1.0,3.0,0.0,-0.0,16150.0,5600.0,2.0,2.0,200.0,0.0,0.0,13000.0,412.69841269841277,intensified
Birmingham,Birmingham_402000_276750,402000,276750,1.0,0.0,-0.0,455.0,455.0,1.0,0.0,,,,,,-1.0,-100.0,,,,,disappeared
Birmingham,Birmingham_402000_278000,402000,278000,1.0,,-0.0,20500.0,20500.0,0.0,1.0,,-0.0,7000.0,7000.0,0.0,0.0,0.0,,0.0,-13500.0,-65.85365853658537,persistent
Birmingham,Birmingham_402000_278250,402000,278250,5.0,0.2,0.5004024235381879,51400.0,5800.0,5.0,5.0,0.0,0.5004024235381879,66350.0,7400.0,1.0,0.0,0.0,-20.0,0.0,14950.0,29.08560311284047,persistent
Birmingham,Birmingham_402000_279250,402000,279250,2.0,0.0,0.6931471805599453,17475.0,8737.5,2.0,3.0,1.0,0.6365141682948128,79100.0,15000.0,1.0,1.0,50.0,100.0,-0.05663301226513251,61625.0,352.64663805436334,intensified
