year,grid_x,grid_y,retail_count
2016.0,5750,-2750,12
2016.0,5750,-2500,10
2016.0,5750,-2000,1
2016.0,6000,-7250,3
2016.0,6000,-6750,10
2016.0,6000,-6000,1
2016.0,6000,-5250,6
2016.0,6000,-4750,1
2016.0,6000,-4000,10
2016.0,6000,-3500,9
2016.0,6000,-2750,1
2016.0,6000,-2000,6
2016.0,6000,-1750,65
2016.0,6250,-5500,7
2016.0,6250,-5250,19
2016.0,6250,-5000,1
2016.0,6250,-3750,2
2016.0,6250,-2500,8
2016.0,6250,-2000,2
2016.0,6250,-1500,3
2016.0,6500,-7750,1
2016.0,6500,-7250,11
2016.0,6500,-6250,21
2016.0,6750,-7250,1
2016.0,6750,-6000,9
2016.0,7000,-7250,2
2016.0,7000,-1750,12
2016.0,7250,-7250,5
2016.0,7250,-6750,17
2016.0,7250,-2000,6
2016.0,7500,-7000,1
2016.0,7500,-1500,1
2016.0,8000,-7500,1
2016.0,8000,-7000,5
2016.0,8000,-2750,8
2016.0,8250,-7000,16
2016.0,8500,-6750,1
2019.0,-3500,500,1
2019.0,-3500,1000,3
2019.0,-3500,1250,2
2019.0,-3500,2000,1
2019.0,-3500,2500,1
2019.0,-3500,3750,3
2019.0,-3250,-250,3
2019.0,-3250,0,4
2019.0,-3250,250,7
2019.0,-3250,500,3
2019.0,-3250,750,2
2019.0,-3250,1250,11
2019.0,-3250,1500,8
2019.0,-3250,1750,2
2019.0,-3250,2000,9
2019.0,-3250,2250,4
2019.0,-3250,2750,4
2019.0,-3250,3250,1
2019.0,-3250,3500,4
2019.0,-3250,3750,7
2019.0,-3000,-750,24
2019.0,-3000,-500,4
2019.0,-3000,-250,93
2019.0,-3000,0,104
2019.0,-3000,250,77
2019.0,-3000,500,5
2019.0,-3000,750,1
2019.0,-3000,1000,9
2019.0,-3000,1250,2
2019.0,-3000,1750,3
2019.0,-3000,2000,1
2019.0,-3000,2250,1
2019.0,-3000,2750,3
2019.0,-3000,3250,6
2019.0,-3000,3500,2
2019.0,-3000,3750,3
2019.0,-2750,-1250,1
2019.0,-2750,-750,24
2019.0,-2750,-500,9
2019.0,-2750,-250,73
2019.0,-2750,0,142
2019.0,-2750,250,29
2019.0,-2750,500,5
2019.0,-2750,750,11
2019.0,-2750,1250,10
2019.0,-2750,1750,1
2019.0,-2750,2000,3
2019.0,-2750,2500,1
2019.0,-2750,3250,8
2019.0,-2750,3500,1
2019.0,-2500,-1750,1
2019.0,-2500,-1500,55
2019.0,-2500,-1250,1
2019.0,-2500,-1000,4
2019.0,-2500,-750,12
2019.0,-2500,-500,55
2019.0,-2500,-250,189
2019.0,-2500,0,196
2019.0,-2500,250,45
2019.0,-2500,500,4
2019.0,-2500,750,1
2019.0,-2500,1000,2
2019.0,-2500,1750,1
2019.0,-2500,2000,4
2019.0,-2500,2750,5
2019.0,-2500,3000,25
2019.0,-2500,3500,5
2019.0,-2500,3750,2
2019.0,-2250,-1750,1
2019.0,-2250,-1250,14
2019.0,-2250,-1000,11
2019.0,-2250,-750,2
2019.0,-2250,-500,65
2019.0,-2250,-250,137
2019.0,-2250,0,294
2019.0,-2250,250,10
2019.0,-2250,500,3
2019.0,-2250,1250,1
2019.0,-2250,1500,3
2019.0,-2250,1750,11
2019.0,-2250,2000,5
2019.0,-2250,2250,1
2019.0,-2250,2500,2
2019.0,-2250,3000,6
2019.0,-2250,3250,4
2019.0,-2250,3750,1
2019.0,-2250,4000,5
2019.0,-2000,-2500,6
2019.0,-2000,-2250,1
2019.0,-2000,-2000,4
2019.0,-2000,-1750,1
