"city","year","grid_id","grid_x","grid_y","retail_records","records_with_rateable_value","rateable_value_total","rateable_value_median"
"Birmingham",2016,"Birmingham_404500_290500",404500,290500,26,26,148800,4850
"Birmingham",2016,"Birmingham_404500_290750",404500,290750,9,9,31775,3350
"Birmingham",2016,"Birmingham_404500_294000",404500,294000,29,27,406400,12250
"Birmingham",2016,"Birmingham_404750_277500",404750,277500,1,1,4850,4850
"Birmingham",2016,"Birmingham_404750_278500",404750,278500,2,2,13400,6700
"Birmingham",2016,"Birmingham_404750_278750",404750,278750,43,37,288675,6000
"Birmingham",2016,"Birmingham_404750_279000",404750,279000,1,1,5900,5900
"Birmingham",2016,"Birmingham_404750_279250",404750,279250,1,1,157000,157000
"Birmingham",2016,"Birmingham_404750_279500",404750,279500,26,23,278850,7600
"Birmingham",2016,"Birmingham_404750_279750",404750,279750,80,74,758075,8700
"Birmingham",2016,"Birmingham_404750_280000",404750,280000,3,3,8725,2800
"Birmingham",2016,"Birmingham_404750_282000",404750,282000,39,30,295300,4550
"Birmingham",2016,"Birmingham_404750_282250",404750,282250,1,1,4750,4750
"Birmingham",2016,"Birmingham_404750_282500",404750,282500,4,1,1300,1300
"Birmingham",2016,"Birmingham_404750_282750",404750,282750,1,1,1475,1475
"Birmingham",2016,"Birmingham_404750_283000",404750,283000,31,21,197700,6500
"Birmingham",2016,"Birmingham_404750_283500",404750,283500,4,3,68250,24750
"Birmingham",2016,"Birmingham_404750_283750",404750,283750,23,16,298850,11275
"Birmingham",2016,"Birmingham_404750_285750",404750,285750,1,1,66000,66000
"Birmingham",2016,"Birmingham_404750_286000",404750,286000,29,28,152250,5000
"Birmingham",2016,"Birmingham_404750_286500",404750,286500,1,1,3300,3300
"Birmingham",2016,"Birmingham_404750_286750",404750,286750,2,0,NA,NA
"Birmingham",2016,"Birmingham_404750_287000",404750,287000,15,5,70250,13750
"Birmingham",2016,"Birmingham_404750_287500",404750,287500,2,2,11700,5850
"Birmingham",2016,"Birmingham_404750_288250",404750,288250,1,1,9100,9100
"Birmingham",2016,"Birmingham_404750_288750",404750,288750,6,5,16725,2425
"Birmingham",2016,"Birmingham_404750_289250",404750,289250,59,48,370975,6700
"Birmingham",2016,"Birmingham_404750_289750",404750,289750,1,1,6700,6700
"Birmingham",2016,"Birmingham_404750_290000",404750,290000,1,0,NA,NA
"Birmingham",2016,"Birmingham_404750_290500",404750,290500,2,2,56750,28375
"Birmingham",2016,"Birmingham_404750_292000",404750,292000,7,6,36450,3400
"Birmingham",2016,"Birmingham_404750_292250",404750,292250,2,2,10700,5350
"Birmingham",2016,"Birmingham_404750_292500",404750,292500,13,13,127200,7000
"Birmingham",2016,"Birmingham_404750_292750",404750,292750,16,12,49300,4300
"Birmingham",2016,"Birmingham_404750_293000",404750,293000,3,3,17400,5900
"Birmingham",2016,"Birmingham_404750_294000",404750,294000,2,2,14100,7050
"Birmingham",2016,"Birmingham_405000_278000",405000,278000,13,13,54550,3300
"Birmingham",2016,"Birmingham_405000_278750",405000,278750,1,1,64000,64000
"Birmingham",2016,"Birmingham_405000_279500",405000,279500,1,1,81500,81500
"Birmingham",2016,"Birmingham_405000_279750",405000,279750,25,24,143250,3375
"Birmingham",2016,"Birmingham_405000_280000",405000,280000,7,7,18100,2175
"Birmingham",2016,"Birmingham_405000_280500",405000,280500,1,1,5300,5300
"Birmingham",2016,"Birmingham_405000_280750",405000,280750,2,2,5600,2800
"Birmingham",2016,"Birmingham_405000_281000",405000,281000,5,4,7800,2137.5
"Birmingham",2016,"Birmingham_405000_281250",405000,281250,4,3,4750,1725
"Birmingham",2016,"Birmingham_405000_282000",405000,282000,1,0,NA,NA
"Birmingham",2016,"Birmingham_405000_282250",405000,282250,1,1,6100,6100
"Birmingham",2016,"Birmingham_405000_283250",405000,283250,1,0,NA,NA
"Birmingham",2016,"Birmingham_405000_284250",405000,284250,1,1,112000,112000
"Birmingham",2016,"Birmingham_405000_285750",405000,285750,2,2,118700,59350
"Birmingham",2016,"Birmingham_405000_286000",405000,286000,4,4,6665,1762.5
"Birmingham",2016,"Birmingham_405000_286250",405000,286250,1,0,NA,NA
"Birmingham",2016,"Birmingham_405000_286500",405000,286500,1,1,3950,3950
"Birmingham",2016,"Birmingham_405000_287000",405000,287000,2,1,20750,20750
"Birmingham",2016,"Birmingham_405000_287250",405000,287250,5,5,21545,4300
"Birmingham",2016,"Birmingham_405000_287500",405000,287500,5,4,17725,2237.5
"Birmingham",2016,"Birmingham_405000_287750",405000,287750,7,4,6625,1775
"Birmingham",2016,"Birmingham_405000_288500",405000,288500,8,5,24100,3700
"Birmingham",2016,"Birmingham_405000_288750",405000,288750,5,5,8495,1850
"Birmingham",2016,"Birmingham_405000_289000",405000,289000,14,8,46025,2125
"Birmingham",2016,"Birmingham_405000_289250",405000,289250,6,6,60700,8750
"Birmingham",2016,"Birmingham_405000_289500",405000,289500,1,1,1900,1900
