city,window,cluster_id,n_records,n_unique_uarn,centroid_lon,centroid_lat,centroid_x_m,centroid_y_m,median_lon,median_lat,median_x_m,median_y_m,high_street_share,occupied_share,median_rateable_value,median_floor_area,dominant_subgroup,dominant_subgroup_share
Birmingham,2025,15,401,401,-1.9042662344139647,52.50473019700748,-1258.9584556165478,2990.902557206669,-1.90642,52.503127,-1404.9874929231466,2813.6851599995925,1.0,0.5610972568578554,7750.0,65.35,RETAIL_HIGH_STREET,1.0
Birmingham,2025,16,307,307,-1.9098673485342017,52.48854916938112,-1638.723694752154,1202.2517633873242,-1.910775,52.488269,-1700.2640362915556,1171.2818399999564,1.0,0.3713355048859935,7600.0,71.34,RETAIL_HIGH_STREET,1.0
Birmingham,2025,17,398,398,-1.8976018743718592,52.47956386683418,-807.1033013121626,209.01641984904603,-1.897708,52.479349,-814.2988027220762,185.26503999958396,1.0,0.3316582914572864,25000.0,97.85,RETAIL_HIGH_STREET,1.0
Birmingham,2025,18,167,167,-1.89378194011976,52.47610243712574,-548.1051424477862,-173.6100201199634,-1.893756,52.476109,-546.34635739671,-172.88456000020972,1.0,0.5808383233532934,4825.0,17.2,RETAIL_HIGH_STREET,1.0
Birmingham,2025,19,170,170,-1.8949221941176468,52.47759659411764,-625.4163385575388,-8.44590623560203,-1.895122,52.47762,-638.9635234681798,-5.858620000131651,1.0,0.4764705882352941,80500.0,115.15,RETAIL_HIGH_STREET,1.0
Liverpool,2016,0,222,222,-2.8640194999999995,53.38261253603604,5720.679098514703,-2578.286246576763,-2.863252,53.383905,5771.61231129735,-2435.417280000325,1.0,0.2477477477477477,8900.0,79.15,RETAIL_HIGH_STREET,1.0
Liverpool,2016,1,594,594,-2.8699565000000007,53.3479060016835,5326.684982175078,-6414.746553905666,-2.872634,53.346932,5148.999409242735,-6522.412699999899,1.0,0.5656565656565656,126.0,6.97,RETAIL_HIGH_STREET,1.0
Liverpool,2016,2,257,257,-2.9025676964980542,53.35853571595331,3162.52470812616,-5239.737938521578,-2.90134,53.356591,3243.997707432931,-5454.706839999988,1.0,0.3268482490272373,3700.0,61.2,RETAIL_HIGH_STREET,1.0
Liverpool,2016,3,137,137,-2.9088136204379564,53.432266802919706,2748.029629226716,2910.496414744296,-2.910593,53.431854,2629.9455668753244,2864.865179999972,1.0,0.3503649635036496,4900.0,62.0,RETAIL_HIGH_STREET,1.0
Liverpool,2016,4,140,140,-2.928509821428572,53.44129732142857,1440.9406441256783,3908.729930714135,-2.929063,53.441034,1404.2303354802198,3879.6223800000416,1.0,0.2285714285714285,15000.0,107.45,RETAIL_HIGH_STREET,1.0
Liverpool,2016,5,400,400,-2.9166170150000004,53.41446811,2230.176918274754,943.0288993998588,-2.914916,53.414958,2343.0605129868136,997.181339999675,1.0,0.3325,4300.0,61.83,RETAIL_HIGH_STREET,1.0
Liverpool,2016,6,375,375,-2.960352650666666,53.462559176000006,-672.2288636082842,6259.015335039784,-2.960183,53.462989,-660.9704225606425,6306.528079999864,1.0,0.288,4050.0,61.2,RETAIL_HIGH_STREET,1.0
Liverpool,2016,7,208,208,-2.934980668269231,53.42600343269232,1011.5191209734872,2218.143469807491,-2.934315,53.424668,1055.6945263147345,2070.5247399994905,1.0,0.2884615384615384,3750.0,55.45,RETAIL_HIGH_STREET,1.0
Liverpool,2016,8,126,126,-2.964464452380953,53.38603565079365,-945.0982729031645,-2199.8951412699475,-2.963965,53.385905,-911.9533681554692,-2214.3372800000548,1.0,0.2619047619047619,2575.0,54.15,RETAIL_HIGH_STREET,1.0
Liverpool,2016,9,122,122,-2.949189803278689,53.38004690983608,68.56550938487896,-2861.890566721384,-2.948973,53.380328,82.95311528118887,-2830.818860000318,1.0,0.3524590163934426,5100.0,60.900000000000006,RETAIL_HIGH_STREET,1.0
Liverpool,2016,10,417,417,-2.970611023980815,53.440864220623496,-1353.0000829092571,3860.854967721611,-2.970613,53.440919,-1353.1312164670458,3866.910279999934,1.0,0.2757793764988009,3850.0,65.96,RETAIL_HIGH_STREET,1.0
Liverpool,2016,11,380,380,-2.956728897368421,53.42689887894738,-431.7475635282694,2317.126098841948,-2.956305,53.426981,-403.6166777122424,2326.2037599995897,1.0,0.2710526315789474,3200.0,65.19999999999999,RETAIL_HIGH_STREET,1.0
Liverpool,2016,12,157,157,-2.946657312101911,53.39593927388536,236.62793541357948,-1105.1486447135503,-2.948166,53.396294,136.50764650673523,-1065.937220000449,1.0,0.267515923566879,2525.0,59.3,RETAIL_HIGH_STREET,1.0
